t,x00,x10,v00,v10,x01,x11,v01,v11,x02,x12,v02,v12,x03,x13,v03,v13,
0.0408,-0.575231,0.143734,-0.806951,0.321606,-0.503972,-0.162221,2.94242,1.62082,0.481893,0.04799,-0.542838,-1.33615,0.517873,0.370497,1.03478,-2.00414,
0.0412,-0.575941,0.144016,-0.805764,0.318449,-0.50303,-0.161701,2.94082,1.62962,0.481697,0.0475092,-0.543755,-1.33463,0.518039,0.370176,1.0335,-2.00779,
0.0416,-0.576649,0.144295,-0.804561,0.315298,-0.502089,-0.161178,2.93919,1.63841,0.481501,0.047029,-0.54467,-1.33312,0.518204,0.369854,1.03221,-2.01143,
0.042,-0.577357,0.144571,-0.803343,0.312154,-0.501149,-0.160652,2.93752,1.64717,0.481305,0.0465494,-0.545584,-1.33161,0.518369,0.369532,1.03092,-2.01507,
0.0424,-0.578063,0.144844,-0.80211,0.309017,-0.500209,-0.160124,2.9358,1.65592,0.481108,0.0460703,-0.546496,-1.3301,0.518534,0.369209,1.02963,-2.0187,
0.0428,-0.578769,0.145115,-0.800861,0.305886,-0.49927,-0.159592,2.93404,1.66465,0.480911,0.0455917,-0.547407,-1.32859,0.518699,0.368886,1.02833,-2.02233,
0.0432,-0.579473,0.145382,-0.799598,0.302763,-0.498332,-0.159058,2.93224,1.67335,0.480714,0.0451137,-0.548317,-1.32709,0.518863,0.368562,1.02703,-2.02596,
0.0436,-0.580176,0.145647,-0.798319,0.299648,-0.497394,-0.158521,2.93039,1.68204,0.480517,0.0446362,-0.549225,-1.32558,0.519027,0.368238,1.02573,-2.02958,
0.044,-0.580878,0.14591,-0.797026,0.296539,-0.496456,-0.157982,2.92851,1.6907,0.480319,0.0441593,-0.550132,-1.32408,0.519191,0.367913,1.02442,-2.03319,
0.0444,-0.581579,0.146169,-0.795718,0.293439,-0.495519,-0.157439,2.92658,1.69934,0.480121,0.0436829,-0.551038,-1.32258,0.519355,0.367587,1.02312,-2.0368,
0.0448,-0.582278,0.146426,-0.794395,0.290346,-0.494583,-0.156894,2.92462,1.70796,0.479922,0.043207,-0.551942,-1.32107,0.519519,0.367261,1.02181,-2.04041,
0.0452,-0.582977,0.14668,-0.793057,0.28726,-0.493648,-0.156346,2.92261,1.71656,0.479723,0.0427317,-0.552845,-1.31958,0.519682,0.366934,1.0205,-2.04401,
0.0456,-0.583674,0.146932,-0.791705,0.284183,-0.492713,-0.155796,2.92056,1.72514,0.479524,0.0422569,-0.553747,-1.31808,0.519845,0.366607,1.01918,-2.0476,
0.046,-0.58437,0.14718,-0.790338,0.281114,-0.491779,-0.155242,2.91848,1.73369,0.479324,0.0417827,-0.554648,-1.31658,0.520008,0.366279,1.01786,-2.05119,
0.0464,-0.585065,0.147426,-0.788957,0.278052,-0.490845,-0.154686,2.91635,1.74222,0.479125,0.041309,-0.555547,-1.31509,0.520171,0.365951,1.01654,-2.05478,
0.0468,-0.585759,0.14767,-0.787562,0.274999,-0.489912,-0.154127,2.91419,1.75072,0.478924,0.0408358,-0.556444,-1.31359,0.520334,0.365622,1.01522,-2.05836,
0.0472,-0.586451,0.14791,-0.786152,0.271955,-0.48898,-0.153566,2.91198,1.75921,0.478724,0.0403632,-0.557341,-1.3121,0.520496,0.365292,1.01389,-2.06194,
0.0476,-0.587142,0.148148,-0.784729,0.268919,-0.488048,-0.153001,2.90974,1.76766,0.478523,0.0398911,-0.558236,-1.31061,0.520658,0.364962,1.01256,-2.06551,
0.048,-0.587832,0.148384,-0.783291,0.265891,-0.487118,-0.152434,2.90746,1.7761,0.478322,0.0394195,-0.55913,-1.30912,0.52082,0.364631,1.01123,-2.06907,
0.0484,-0.588521,0.148616,-0.78184,0.262873,-0.486188,-0.151865,2.90514,1.78451,0.478121,0.0389485,-0.560023,-1.30763,0.520982,0.3643,1.0099,-2.07264,
0.0488,-0.589208,0.148846,-0.780375,0.259863,-0.485258,-0.151292,2.90278,1.79289,0.477919,0.038478,-0.560915,-1.30615,0.521143,0.363968,1.00856,-2.07619,
0.0492,-0.589894,0.149074,-0.778896,0.256862,-0.48433,-0.150717,2.90038,1.80125,0.477717,0.0380081,-0.561805,-1.30466,0.521304,0.363635,1.00722,-2.07975,
0.0496,-0.590579,0.149299,-0.777404,0.25387,-0.483402,-0.150139,2.89795,1.80958,0.477514,0.0375387,-0.562694,-1.30318,0.521465,0.363302,1.00588,-2.0833,
0.05,-0.591263,0.149521,-0.775898,0.250887,-0.482475,-0.149559,2.89548,1.81789,0.477312,0.0370698,-0.563582,-1.3017,0.521626,0.362969,1.00454,-2.08684,
0.0504,-0.591945,0.14974,-0.774379,0.247913,-0.481549,-0.148976,2.89297,1.82617,0.477109,0.0366015,-0.564469,-1.30022,0.521787,0.362634,1.00319,-2.09038,
0.0508,-0.592626,0.149957,-0.772846,0.244949,-0.480624,-0.14839,2.89043,1.83443,0.476905,0.0361336,-0.565354,-1.29874,0.521947,0.3623,1.00184,-2.09391,
0.0512,-0.593305,0.150171,-0.771301,0.241994,-0.479699,-0.147802,2.88785,1.84265,0.476702,0.0356664,-0.566239,-1.29726,0.522107,0.361964,1.00049,-2.09744,
0.0516,-0.593983,0.150383,-0.769742,0.239048,-0.478775,-0.147211,2.88524,1.85085,0.476498,0.0351996,-0.567122,-1.29578,0.522267,0.361629,0.999134,-2.10097,
0.052,-0.59466,0.150592,-0.768171,0.236113,-0.477853,-0.146617,2.88259,1.85903,0.476293,0.0347334,-0.568004,-1.29431,0.522427,0.361292,0.997776,-2.10449,
0.0524,-0.595335,0.150798,-0.766587,0.233187,-0.476931,-0.146021,2.8799,1.86718,0.476089,0.0342677,-0.568885,-1.29283,0.522587,0.360955,0.996416,-2.108,
0.0528,-0.596009,0.151002,-0.76499,0.23027,-0.476009,-0.145422,2.87718,1.87529,0.475884,0.0338026,-0.569765,-1.29136,0.522746,0.360618,0.995053,-2.11152,
0.0532,-0.596681,0.151204,-0.76338,0.227364,-0.475089,-0.144821,2.87443,1.88338,0.475678,0.0333379,-0.570643,-1.28989,0.522905,0.360279,0.993688,-2.11502,
0.0536,-0.597352,0.151403,-0.761758,0.224468,-0.47417,-0.144217,2.87164,1.89145,0.475473,0.0328738,-0.571521,-1.28842,0.523064,0.359941,0.99232,-2.11853,
0.054,-0.598022,0.151599,-0.760123,0.221581,-0.473251,-0.143611,2.86881,1.89948,0.475267,0.0324103,-0.572397,-1.28695,0.523223,0.359601,0.990949,-2.12203,
0.0544,-0.59869,0.151793,-0.758477,0.218705,-0.472334,-0.143001,2.86595,1.90749,0.475061,0.0319472,-0.573273,-1.28548,0.523381,0.359262,0.989576,-2.12552,
0.0548,-0.599357,0.151984,-0.756818,0.215839,-0.471417,-0.14239,2.86306,1.91546,0.474854,0.0314847,-0.574147,-1.28402,0.523539,0.358921,0.9882,-2.12901,
0.0552,-0.600022,0.152172,-0.755147,0.212984,-0.470501,-0.141776,2.86014,1.92341,0.474647,0.0310228,-0.57502,-1.28255,0.523697,0.35858,0.986821,-2.13249,
0.0556,-0.600686,0.152359,-0.753464,0.210139,-0.469587,-0.141159,2.85718,1.93133,0.47444,0.0305613,-0.575892,-1.28109,0.523855,0.358239,0.98544,-2.13598,
0.056,-0.601348,0.152542,-0.751769,0.207304,-0.468673,-0.140539,2.8542,1.93922,0.474233,0.0301004,-0.576763,-1.27962,0.524013,0.357897,0.984057,-2.13945,
0.0564,-0.602009,0.152723,-0.750063,0.20448,-0.46776,-0.139918,2.85118,1.94708,0.474025,0.02964,-0.577633,-1.27816,0.52417,0.357554,0.98267,-2.14293,
0.0568,-0.602668,0.152902,-0.748345,0.201666,-0.466848,-0.139293,2.84812,1.95491,0.473817,0.0291801,-0.578502,-1.2767,0.524327,0.357211,0.981281,-2.14639,
0.0572,-0.603326,0.153078,-0.746615,0.198864,-0.465937,-0.138667,2.84504,1.9627,0.473608,0.0287207,-0.57937,-1.27524,0.524484,0.356867,0.97989,-2.14986,
0.0576,-0.603983,0.153252,-0.744875,0.196072,-0.465027,-0.138037,2.84192,1.97047,0.4734,0.0282619,-0.580237,-1.27379,0.524641,0.356523,0.978496,-2.15332,
0.058,-0.604637,0.153423,-0.743122,0.19329,-0.464118,-0.137405,2.83878,1.97821,0.473191,0.0278036,-0.581103,-1.27233,0.524797,0.356178,0.977099,-2.15677,
