t,x0,x1, 
2.43906,1.226,-1.49149,
2.44063,1.22367,-1.49618,
2.44219,1.22133,-1.50087,
2.44375,1.21898,-1.50557,
2.44531,1.21662,-1.51027,
2.44688,1.21426,-1.51497,
2.44844,1.21189,-1.51968,
2.45,1.20951,-1.52438,
2.45156,1.20712,-1.52909,
2.45312,1.20473,-1.5338,
2.45469,1.20233,-1.53852,
2.45625,1.19992,-1.54323,
2.45781,1.19751,-1.54795,
2.45938,1.19508,-1.55267,
2.46094,1.19265,-1.55739,
2.4625,1.19022,-1.56212,
2.46406,1.18777,-1.56684,
2.46563,1.18532,-1.57156,
2.46719,1.18286,-1.57629,
2.46875,1.1804,-1.58102,
2.47031,1.17792,-1.58575,
2.47188,1.17544,-1.59048,
2.47344,1.17295,-1.5952,
2.475,1.17045,-1.59993,
2.47656,1.16795,-1.60467,
2.47813,1.16544,-1.6094,
2.47969,1.16292,-1.61413,
2.48125,1.1604,-1.61886,
2.48281,1.15786,-1.62359,
2.48438,1.15532,-1.62832,
2.48594,1.15277,-1.63305,
2.4875,1.15022,-1.63778,
2.48906,1.14766,-1.64251,
2.49063,1.14509,-1.64723,
2.49219,1.14251,-1.65196,
2.49375,1.13992,-1.65668,
2.49531,1.13733,-1.66141,
2.49688,1.13473,-1.66613,
2.49844,1.13213,-1.67085,
2.5,1.12951,-1.67557,
2.50156,1.12689,-1.68029,
2.50313,1.12426,-1.685,
2.50469,1.12162,-1.68971,
2.50625,1.11898,-1.69442,
2.50781,1.11633,-1.69913,
2.50938,1.11367,-1.70384,
2.51094,1.111,-1.70854,
2.5125,1.10833,-1.71324,
2.51406,1.10565,-1.71793,
2.51562,1.10296,-1.72263,
2.51719,1.10027,-1.72731,
2.51875,1.09756,-1.732,
2.52031,1.09485,-1.73668,
2.52188,1.09214,-1.74136,
2.52344,1.08941,-1.74603,
2.525,1.08668,-1.7507,
2.52656,1.08394,-1.75536,
2.52813,1.0812,-1.76002,
2.52969,1.07844,-1.76467,
2.53125,1.07568,-1.76932,
2.53281,1.07291,-1.77396,
2.53438,1.07014,-1.7786,
2.53594,1.06735,-1.78323,
2.5375,1.06456,-1.78786,
2.53906,1.06177,-1.79248,
2.54063,1.05896,-1.7971,
2.54219,1.05615,-1.8017,
2.54375,1.05333,-1.8063,
2.54531,1.05051,-1.8109,
2.54688,1.04767,-1.81548,
2.54844,1.04483,-1.82006,
2.55,1.04199,-1.82464,
2.55156,1.03913,-1.8292,
2.55313,1.03627,-1.83376,
2.55469,1.0334,-1.83831,
2.55625,1.03052,-1.84285,
2.55781,1.02764,-1.84738,
2.55938,1.02475,-1.85191,
2.56094,1.02185,-1.85642,
2.5625,1.01895,-1.86093,
2.56406,1.01604,-1.86543,
2.56563,1.01312,-1.86992,
2.56719,1.0102,-1.87439,
2.56875,1.00726,-1.87886,
2.57031,1.00432,-1.88332,
2.57188,1.00138,-1.88777,
2.57344,0.998425,-1.89221,
2.575,0.995465,-1.89664,
2.57656,0.992498,-1.90105,
2.57812,0.989524,-1.90546,
2.57969,0.986543,-1.90986,
2.58125,0.983556,-1.91424,
2.58281,0.980561,-1.91861,
2.58438,0.97756,-1.92297,
2.58594,0.974552,-1.92732,
2.5875,0.971537,-1.93166,
